fips,county,c2010,hhpop2010,gq2010,hh2010,hhsize2010,N2015,hhpop2015,gq2015,hh2015,hhsize2015,N2020,hhpop2020,gq2020,hh2020,hhsize2020,N2025,hhpop2025,gq2025,hh2025,hhsize2025,N2030,hhpop2030,gq2030,hh2030,hhsize2030,N2035,hhpop2035,gq2035,hh2035,hhsize2035,N2040,hhpop2040,gq2040,hh2040,hhsize2040
21175,Morgan,13923,11948,1975,4860,2.458436214,13275,11482,1793,4818,2.383147,12824,10997,1827,4739,2.320532,12324,10461,1863,4616,2.266248,11762,9863,1899,4465,2.208959,11155,9219,1936,4257,2.16561,10536,8562,1974,4016,2.131972
21177,Muhlenberg,31499,29548,1951,12052,2.45170926,31183,29085,2098,12049,2.413893,30582,28443,2139,11913,2.38756,29903,27722,2181,11750,2.359319,29110,26887,2223,11542,2.329492,28211,25943,2268,11259,2.304201,27286,24973,2313,10956,2.27939
21179,Nelson,43437,42941,496,16826,2.552062285,45126,44630,496,17901,2.493157,47473,46972,501,19200,2.446458,49702,49196,506,20387,2.413106,51695,51183,512,21450,2.386154,53337,52819,518,22377,2.360415,54752,54228,524,23231,2.334295
21181,Nicholas,7135,7040,95,2809,2.506229975,7131,7036,95,2840,2.477465,7070,6975,95,2832,2.462924,6997,6902,95,2823,2.444917,6896,6801,95,2808,2.422009,6781,6686,95,2772,2.411977,6678,6583,95,2738,2.40431
21183,Ohio,23842,23535,307,9176,2.564843069,24216,23909,307,9446,2.531124,24235,23926,309,9620,2.48711,24083,23772,311,9710,2.448198,23832,23519,313,9768,2.40776,23534,23219,315,9783,2.373403,23181,22864,317,9725,2.351054
21185,Oldham,60316,55748,4568,19431,2.869023725,64875,59698,5177,21135,2.824604,69419,64141,5278,23441,2.736274,74806,69425,5381,25868,2.683818,81831,76343,5488,28607,2.668683,90346,84750,5596,31478,2.692357,99124,93420,5704,34304,2.723298
21187,Owen,10841,10841,0,4296,2.523510242,10730,10730,0,4377,2.451451,10464,10464,0,4382,2.387951,10164,10164,0,4373,2.324263,9837,9837,0,4317,2.278666,9482,9482,0,4226,2.243729,9060,9060,0,4067,2.227686
21189,Owsley,4755,4665,90,1914,2.437304075,4461,4371,90,1836,2.380719,4300,4210,90,1800,2.338889,4125,4035,90,1745,2.312321,3919,3829,90,1681,2.277811,3685,3595,90,1591,2.259585,3463,3373,90,1498,2.251669
21191,Pendleton,14877,14662,215,5494,2.668729523,14408,14193,215,5555,2.554996,14051,13836,215,5639,2.453627,13588,13373,215,5627,2.376577,13020,12805,215,5542,2.310538,12352,12137,215,5396,2.249259,11603,11388,215,5183,2.197183
21193,Perry,28712,28101,611,11319,2.482639809,27565,26954,611,11019,2.446138,26777,26158,619,10751,2.433076,25771,25144,627,10369,2.42492,24621,23986,635,9953,2.409927,23382,22739,643,9484,2.397617,22189,21538,651,9027,2.385953
21195,Pike,65024,63924,1100,26728,2.391649207,61792,60433,1359,25883,2.334853,59412,58026,1386,25173,2.305089,56810,55397,1413,24283,2.281308,53994,52554,1440,23259,2.259512,51085,49618,1467,22102,2.244955,48297,46803,1494,20932,2.235955
21197,Powell,12613,12425,188,4834,2.570335126,12269,12081,188,4795,2.5195,11753,11564,189,4660,2.481545,11192,11002,190,4503,2.44326,10584,10393,191,4310,2.411369,9966,9774,192,4113,2.376368,9332,9139,193,3890,2.349357
21199,Pulaski,63063,62101,962,25722,2.414314595,63782,62820,962,26358,2.383337,65677,64698,979,27371,2.363743,67345,66349,996,28282,2.34598,68854,67841,1013,29115,2.330105,70180,69150,1030,29853,2.31635,71296,70249,1047,30452,2.306876
21201,Robertson,2282,2225,57,902,2.466740576,2138,2081,57,887,2.346111,2107,2050,57,891,2.300786,2053,1996,57,881,2.265607,1983,1926,57,856,2.25,1907,1850,57,843,2.194543,1812,1755,57,813,2.158672
21203,Rockcastle,17056,16715,341,6750,2.476296296,16942,16601,341,6900,2.405942,16740,16397,343,6967,2.353524,16455,16110,345,6984,2.306701,16078,15731,347,6941,2.266388,15618,15269,349,6822,2.2382,15105,14754,351,6669,2.212326
21205,Rowan,23333,20898,2435,8864,2.357626354,23892,21450,2442,9165,2.340425,24879,22389,2490,9610,2.329761,25809,23271,2538,10075,2.309777,26953,24367,2586,10583,2.302466,28023,25388,2635,11079,2.291543,28982,26296,2686,11543,2.278091
21207,Russell,17565,17388,177,7401,2.349412242,17662,17485,177,7479,2.337879,17949,17771,178,7630,2.329096,18178,17999,179,7764,2.318264,18303,18123,180,7864,2.304552,18362,18181,181,7939,2.290087,18410,18228,182,7995,2.279925
21209,Scott,47173,45857,1316,17408,2.634248621,52420,51100,1320,19730,2.589965,59589,58244,1345,22976,2.534993,67570,66199,1371,26495,2.498547,76607,75210,1397,30505,2.465497,86721,85298,1423,34842,2.448137,97745,96296,1449,39483,2.438923
21211,Shelby,42074,40378,1696,15321,2.635467659,45632,43827,1805,16857,2.599929,49988,48150,1838,18649,2.581908,54637,52765,1872,20454,2.579691,59415,57509,1906,22322,2.576337,64209,62267,1942,24177,2.575464,69239,67259,1980,26247,2.562541
21213,Simpson,17327,17000,327,6753,2.517399674,18006,17679,327,7092,2.492809,18396,18063,333,7354,2.456214,18764,18425,339,7607,2.422111,19042,18697,345,7798,2.397666,19181,18830,351,7939,2.371835,19230,18873,357,8041,2.347096
