,GEO_ID,name,rentersless30,renters3050,renters5080,renters80100,renters100up,ownersless30,owners3050,owners5080,owners80100,owners100up,runitsless30,runits3050,runits5080,runits80up,ounitsless50,ounits5080,ounits80100,ounits100up,less30rentgap,3050rentgap,80uprentgap,less50owngap,5080owngap,80100owngap,100upowngap
1919,05000US37059,"Davie County, North Carolina",675,835,610,594,839,734,1035,1640,1445,7905,970,1005,1405,195,3815,2465,2035,4460,-295,-795,1238,-2046,-825,-590,3445
1920,05000US37061,"Duplin County, North Carolina",1738,1332,1448,664,1375,1298,1972,2885,2310,7299,1755,1975,2360,475,8349,3205,1719,2080,-17,-912,1564,-5079,-320,591,5219
1921,05000US37063,"Durham County, North Carolina",14485,9395,13260,5750,13375,4032,4270,8898,7219,41625,5700,13780,30035,6745,15345,24499,10845,14925,8785,-16775,12380,-7043,-15601,-3626,26700
1922,05000US37065,"Edgecombe County, North Carolina",2275,1759,2170,683,1850,1065,1473,2420,2018,6480,1840,2305,3820,785,7565,3174,915,1265,435,-1650,1748,-5027,-754,1103,5215
1923,05000US37067,"Forsyth County, North Carolina",12960,10364,11059,5414,14695,5019,6785,11920,10277,58774,5875,11970,28720,7910,22620,32795,13950,23390,7085,-17661,12199,-10816,-20875,-3673,35384
1924,05000US37069,"Franklin County, North Carolina",2135,1683,1250,670,804,2480,2610,3470,2884,6945,2215,3040,1175,120,9750,4950,1655,1710,-80,75,1354,-4660,-1480,1229,5235
1925,05000US37071,"Gaston County, North Carolina",8140,6325,6425,2773,4255,5585,6374,9933,8333,25232,4860,13470,8980,640,26945,16844,3729,6033,3280,-2555,6388,-14986,-6911,4604,19199
1926,05000US37073,"Gates County, North Carolina",240,148,139,164,198,173,369,509,419,2270,265,169,405,35,1329,945,569,805,-25,-266,327,-787,-436,-150,1465
1927,05000US37075,"Graham County, North Carolina",120,50,172,25,218,342,345,523,540,1214,175,200,205,20,1075,530,324,855,-55,-33,223,-388,-7,216,359
1928,05000US37077,"Granville County, North Carolina",1395,1065,1315,509,1289,810,1060,2435,2070,9604,1050,1395,2785,340,5045,4640,2320,3484,345,-1470,1458,-3175,-2205,-250,6120
1929,05000US37079,"Greene County, North Carolina",628,588,370,252,409,378,597,838,632,2819,515,650,980,104,2970,1244,444,519,113,-610,557,-1995,-406,188,2300
1930,05000US37081,"Guilford County, North Carolina",16460,13710,18590,8820,25025,5563,8272,14761,13272,79379,7405,12920,49160,13100,28980,35850,18555,37025,9055,-30570,20745,-15145,-21089,-5283,42354
1931,05000US37083,"Halifax County, North Carolina",2600,1534,1509,810,1359,1138,1864,2115,1945,6925,1840,1810,3275,890,7593,2599,1340,2039,760,-1766,1279,-4591,-484,605,4886
1932,05000US37085,"Harnett County, North Carolina",3370,2604,2954,1569,5099,1947,2188,4114,3643,18038,2320,3140,6670,3455,9063,8570,4363,7764,1050,-3716,3213,-4928,-4456,-720,10274
1933,05000US37087,"Haywood County, North Carolina",1930,1443,1379,552,2129,1154,1969,2903,2439,11101,1595,1485,3360,1005,4184,4145,2548,8395,335,-1981,1676,-1061,-1242,-109,2706
1934,05000US37089,"Henderson County, North Carolina",2380,2715,2814,1745,3589,2695,2602,5362,4984,20138,2160,2950,5485,2645,7155,7690,5644,14815,220,-2671,2689,-1858,-2328,-660,5323
1935,05000US37091,"Hertford County, North Carolina",873,574,527,295,677,645,711,981,886,3052,535,620,1490,259,3494,1343,452,789,338,-963,713,-2138,-362,434,2263
1936,05000US37093,"Hoke County, North Carolina",1345,835,1185,539,1845,970,934,1592,1507,6960,685,1095,2275,1670,3700,3064,2885,2530,660,-1090,714,-1796,-1472,-1378,4430
1937,05000US37095,"Hyde County, North Carolina",110,94,25,25,185,90,118,205,310,770,35,65,250,80,790,190,215,200,75,-225,130,-582,15,95,570
1938,05000US37097,"Iredell County, North Carolina",3955,2760,4065,1805,5170,2980,4287,7264,5709,26729,3105,5320,6940,2400,14154,12413,5560,14865,850,-2875,4575,-6887,-5149,149,11864
1939,05000US37099,"Jackson County, North Carolina",1345,1024,1008,677,1609,833,955,1270,1315,6479,970,1350,2535,800,2015,2074,1480,5129,375,-1527,1486,-227,-804,-165,1350
1940,05000US37101,"Johnston County, North Carolina",6005,4145,4275,1430,2669,4149,5468,9295,7815,21914,4435,9070,4245,780,23100,16945,3840,3670,1570,30,3319,-13483,-7650,3975,18244
1941,05000US37103,"Jones County, North Carolina",390,204,179,48,309,349,328,510,395,1519,395,355,324,65,1525,660,295,545,-5,-145,292,-848,-150,100,974
1942,05000US37105,"Lee County, North Carolina",1699,1525,1165,684,2020,903,1114,2323,1993,8989,1140,1945,3475,525,4979,4494,2320,3250,559,-2310,2179,-2962,-2171,-327,5739
1943,05000US37107,"Lenoir County, North Carolina",2169,1870,1915,820,2490,975,1385,2429,2125,7748,1795,1955,4380,1145,7445,3595,1529,1780,374,-2465,2165,-5085,-1166,596,5968
1944,05000US37109,"Lincoln County, North Carolina",1374,1570,1805,765,1835,1575,2235,3560,3155,14075,1105,2660,2840,755,7515,5775,3219,7640,269,-1035,1845,-3705,-2215,-64,6435
1945,05000US37111,"McDowell County, North Carolina",1144,844,1089,690,1390,885,1515,2504,2315,6425,1180,1735,1995,255,5265,3340,1629,2710,-36,-906,1825,-2865,-836,686,3715
1946,05000US37113,"Macon County, North Carolina",725,880,860,430,1190,830,1075,1959,1785,6416,820,795,1825,630,2015,2924,1925,4949,-95,-965,990,-110,-965,-140,1467
1947,05000US37115,"Madison County, North Carolina",532,582,474,139,412,699,660,1131,1028,2910,715,740,545,115,1814,1309,754,2534,-183,-71,436,-455,-178,274,376
1948,05000US37117,"Martin County, North Carolina",643,589,815,147,789,542,855,1170,965,3229,715,855,1235,190,3974,1319,605,835,-72,-420,746,-2577,-149,360,2394
1949,05000US37119,"Mecklenburg County, North Carolina",32885,27775,36200,18455,55985,13304,15964,29779,24994,144419,10550,34925,95370,30445,55145,69490,26740,75989,22335,-59170,43995,-25877,-39711,-1746,68430
1950,05000US37121,"Mitchell County, North Carolina",332,274,202,147,354,454,575,637,645,2824,479,355,390,84,1475,1240,863,1710,-147,-188,417,-446,-603,-218,1114
1951,05000US37123,"Montgomery County, North Carolina",834,777,742,324,574,490,840,1299,1103,4314,995,1150,1045,64,3483,1649,754,2050,-161,-303,834,-2153,-350,349,2264
1952,05000US37125,"Moore County, North Carolina",2000,1760,1999,845,3179,2355,2754,4509,3809,15834,1805,2695,2920,2355,7555,6315,3825,11770,195,-921,1669,-2446,-1806,-16,4064
1953,05000US37127,"Nash County, North Carolina",2590,2354,2995,1220,3610,1350,1879,2848,2849,15958,2390,2530,5740,2155,8794,6675,3314,5829,200,-2745,2675,-5565,-3827,-465,10129
1954,05000US37129,"New Hanover County, North Carolina",9810,7580,7240,4193,10255,3664,3819,7264,6264,32635,5145,6435,21085,6395,6485,16084,8280,22805,4665,-13845,8053,998,-8820,-2016,9830
1955,05000US37131,"Northampton County, North Carolina",849,599,497,204,573,694,754,1184,959,2919,745,740,1014,210,3545,1180,520,898,104,-517,567,-2097,4,439,2021
1956,05000US37133,"Onslow County, North Carolina",3735,3379,6314,4665,11860,1788,1914,4405,4571,21308,2095,2695,12740,12435,5804,10840,7814,9858,1640,-6426,4090,-2102,-6435,-3243,11450
1957,05000US37135,"Orange County, North Carolina",4810,2885,4730,2330,5149,2049,2199,4265,3700,21307,1865,4695,10080,3270,4944,7275,4570,16155,2945,-5350,4209,-696,-3010,-870,5152
1958,05000US37137,"Pamlico County, North Carolina",257,270,239,171,404,268,405,693,559,2309,325,404,545,85,1558,684,340,1564,-68,-306,490,-885,9,219,745
1959,05000US37139,"Pasquotank County, North Carolina",1294,1155,1005,683,1655,565,610,1059,990,5879,875,885,2560,1465,2464,2500,1640,2624,419,-1555,873,-1289,-1441,-650,3255
1960,05000US37141,"Pender County, North Carolina",1249,649,823,384,1294,1665,1354,2678,2368,9545,945,1000,1785,675,5784,3044,1959,6313,304,-962,1003,-2765,-366,409,3232
1961,05000US37143,"Perquimans County, North Carolina",414,449,295,173,272,176,505,529,447,2630,190,430,615,369,1125,790,590,1909,224,-320,76,-444,-261,-143,721
1962,05000US37145,"Person County, North Carolina",1185,1172,885,393,774,573,857,1558,1544,7304,820,1225,2185,178,4085,3170,1665,2735,365,-1300,989,-2655,-1612,-121,4569
1963,05000US37147,"Pitt County, North Carolina",8850,6160,5990,3310,8530,2050,2320,4230,3710,24464,3175,6385,16385,6915,11630,10565,5210,9685,5675,-10395,4925,-7260,-6335,-1500,14779
1964,05000US37149,"Polk County, North Carolina",311,463,535,242,854,326,435,1143,978,3836,495,515,665,720,1364,964,884,3579,-184,-130,376,-603,179,94,257
1965,05000US37151,"Randolph County, North Carolina",3299,3435,3810,1770,3530,2640,4279,7114,6259,21372,2540,6450,6200,655,16245,13325,4599,6240,759,-2390,4645,-9326,-6211,1660,15132
1966,05000US37153,"Richmond County, North Carolina",2095,1330,1249,574,1105,1124,1418,2204,1769,6059,1300,2120,2710,220,7640,2435,879,1380,795,-1461,1459,-5098,-231,890,4679
1967,05000US37155,"Robeson County, North Carolina",5510,3125,3124,1404,3134,3364,4054,5305,4583,13960,4475,5120,5885,825,19758,5353,2124,3003,1035,-2761,3713,-12340,-48,2459,10957
1968,05000US37157,"Rockingham County, North Carolina",2790,2529,2275,1044,3095,1600,2240,3914,3288,15060,2160,3570,5410,595,10455,7655,3040,4975,630,-3135,3544,-6615,-3741,248,10085
1969,05000US37159,"Rowan County, North Carolina",3525,2944,3149,1500,5405,2595,3050,5429,4163,20975,3090,3335,8765,1335,11429,11160,4385,9070,435,-5616,5570,-5784,-5731,-222,11905
1970,05000US37161,"Rutherford County, North Carolina",1704,1385,1760,965,1718,1445,2365,3053,3070,10207,1320,2925,2745,550,8080,4824,2275,4299,384,-985,2133,-4270,-1771,795,5908
1971,05000US37163,"Sampson County, North Carolina",1809,1850,1734,544,1183,1173,1723,2679,2679,8755,1570,2350,3020,189,9034,3029,1930,2494,239,-1286,1538,-6138,-350,749,6261
1972,05000US37165,"Scotland County, North Carolina",2089,880,785,268,1019,729,942,1599,1449,4265,1195,1390,1985,470,4840,2045,834,659,894,-1200,817,-3169,-446,615,3606
1973,05000US37167,"Stanly County, North Carolina",1590,1295,1480,760,1450,879,1549,2748,2139,10609,1195,1870,3160,350,5345,5604,2370,4304,395,-1680,1860,-2917,-2856,-231,6305
1974,05000US37169,"Stokes County, North Carolina",1205,1010,809,574,729,1098,1629,2410,2350,7934,1220,1665,1260,175,5913,4799,1985,2435,-15,-451,1128,-3186,-2389,365,5499
1975,05000US37171,"Surry County, North Carolina",1879,1555,1815,775,1875,1664,2189,3864,3470,11273,1750,2540,2890,710,7800,5825,3115,5175,129,-1075,1940,-3947,-1961,355,6098
1976,05000US37173,"Swain County, North Carolina",382,152,425,194,383,353,555,785,680,1852,340,555,555,84,1325,930,545,1139,42,-130,493,-417,-145,135,713
1977,05000US37175,"Transylvania County, North Carolina",685,700,850,374,779,790,655,1419,1364,6665,755,805,1375,465,1719,1389,1735,6099,-70,-525,688,-274,30,-371,566
1978,05000US37177,"Tyrrell County, North Carolina",92,102,84,25,73,194,133,249,224,470,165,69,110,30,555,259,260,120,-73,-26,68,-228,-10,-36,350
1979,05000US37179,"Union County, North Carolina",2929,2469,3644,1775,3550,3880,4183,9419,7544,36134,2480,4625,5600,1670,11615,20445,7145,20680,449,-1956,3655,-3552,-11026,399,15454
1980,05000US37181,"Vance County, North Carolina",1799,1520,1375,760,1580,711,1208,1660,1160,5410,1410,1920,3365,355,5089,2350,1165,1600,389,-1990,1985,-3170,-690,-5,3810
1981,05000US37183,"Wake County, North Carolina",26400,22630,31325,15910,40905,11549,14964,32089,28084,163359,10000,33805,80290,13090,43815,76365,40885,87035,16400,-48965,43725,-17302,-44276,-12801,76324
1982,05000US37185,"Warren County, North Carolina",723,441,403,212,507,530,789,970,899,2940,695,845,544,200,3065,1010,530,1440,28,-141,519,-1746,-40,369,1500
1983,05000US37187,"Washington County, North Carolina",795,369,327,194,353,285,239,500,548,1778,730,390,900,45,1920,684,220,465,65,-573,502,-1396,-184,328,1313
1984,05000US37189,"Watauga County, North Carolina",3745,1124,1330,677,1495,908,884,1743,1594,7200,1005,2075,3470,1810,2075,1636,1899,6815,2740,-2140,362,-283,107,-305,385
1985,05000US37191,"Wayne County, North Carolina",3830,3370,4535,1555,5339,1399,2349,4445,3925,18055,3450,3365,8825,2980,11984,6920,4865,5729,380,-4290,3914,-8236,-2475,-940,12326
1986,05000US37193,"Wilkes County, North Carolina",1820,1705,1523,570,1455,1500,3074,3305,3040,10940,1785,1990,2805,500,7525,5275,2635,5605,35,-1282,1525,-2951,-1970,405,5335
1987,05000US37195,"Wilson County, North Carolina",2825,2359,2635,1250,3614,744,1554,2764,2625,12049,1555,2170,6885,2070,7120,5650,2782,4215,1270,-4250,2794,-4822,-2886,-157,7834
1988,05000US37197,"Yadkin County, North Carolina",1010,865,894,414,553,858,1480,2095,1725,5935,880,1775,990,95,4695,3450,1390,2385,130,-96,872,-2357,-1355,335,3550
1989,05000US37199,"Yancey County, North Carolina",530,444,419,312,277,450,489,1061,911,3015,610,505,755,130,1750,1279,795,1963,-80,-336,459,-811,-218,116,1052
1990,05000US38001,"Adams County, North Dakota",77,20,95,27,70,66,111,119,110,398,185,50,34,14,409,138,154,100,-108,61,83,-232,-19,-44,298
1991,05000US38003,"Barnes County, North Dakota",384,258,440,208,389,287,342,593,538,1816,525,999,170,0,2035,764,349,279,-141,270,597,-1406,-171,189,1537
1992,05000US38005,"Benson County, North Dakota",387,168,158,66,94,207,170,268,254,658,660,160,32,4,1153,184,48,79,-273,126,156,-776,84,206,579
1993,05000US38007,"Billings County, North Dakota",4,16,18,12,49,43,32,40,40,184,33,40,20,10,110,99,18,70,-29,-2,51,-35,-59,22,114
1994,05000US38009,"Bottineau County, North Dakota",183,139,95,97,229,232,258,387,288,1240,214,350,174,14,1205,584,220,460,-31,-79,312,-715,-197,68,780
1995,05000US38011,"Bowman County, North Dakota",86,67,46,44,136,108,88,161,167,574,179,133,69,4,584,322,70,109,-93,-23,176,-388,-161,97,465
1996,05000US38013,"Burke County, North Dakota",72,27,42,34,86,72,78,91,101,429,109,83,34,25,460,154,44,68,-37,8,95,-310,-63,57,361
1997,05000US38015,"Burleigh County, North Dakota",2980,2359,3050,1534,2199,1509,1948,4064,3954,16272,2095,6310,3220,495,6215,9195,4965,6654,885,-170,3238,-2758,-5131,-1011,9618
