NAME,B01003_001E,state,county
"Taylor County, Florida",22685,12,123
"Union County, Florida",15191,12,125
"Volusia County, Florida",503719,12,127
"Wakulla County, Florida",31128,12,129
"Walton County, Florida",59487,12,131
"Washington County, Florida",24629,12,133
"Appling County, Georgia",18417,13,001
"Atkinson County, Georgia",8294,13,003
"Bacon County, Georgia",11222,13,005
"Baker County, Georgia",3292,13,007
"Baldwin County, Georgia",45795,13,009
"Banks County, Georgia",18336,13,011
"Barrow County, Georgia",72012,13,013
"Bartow County, Georgia",101336,13,015
"Ben Hill County, Georgia",17477,13,017
"Berrien County, Georgia",19019,13,019
"Bibb County, Georgia",154816,13,021
"Bleckley County, Georgia",12746,13,023
"Brantley County, Georgia",18452,13,025
"Brooks County, Georgia",15637,13,027
"Bryan County, Georgia",33151,13,029
"Bulloch County, Georgia",72386,13,031
"Burke County, Georgia",23007,13,033
"Butts County, Georgia",23445,13,035
"Calhoun County, Georgia",6489,13,037
"Camden County, Georgia",51445,13,039
"Candler County, Georgia",11031,13,043
"Carroll County, Georgia",112595,13,045
"Catoosa County, Georgia",65375,13,047
"Charlton County, Georgia",13130,13,049
"Chatham County, Georgia",279290,13,051
"Chattahoochee County, Georgia",11914,13,053
"Chattooga County, Georgia",25241,13,055
"Cherokee County, Georgia",225944,13,057
"Clarke County, Georgia",120905,13,059
"Clay County, Georgia",3104,13,061
"Clayton County, Georgia",267234,13,063
"Clinch County, Georgia",6791,13,065
"Cobb County, Georgia",719133,13,067
"Coffee County, Georgia",43003,13,069
"Colquitt County, Georgia",46024,13,071
"Columbia County, Georgia",136204,13,073
"Cook County, Georgia",17033,13,075
"Coweta County, Georgia",133416,13,077
"Crawford County, Georgia",12539,13,079
"Crisp County, Georgia",23314,13,081
"Dade County, Georgia",16445,13,083
"Dawson County, Georgia",22673,13,085
"Decatur County, Georgia",27378,13,087
"DeKalb County, Georgia",716331,13,089
"Dodge County, Georgia",21180,13,091
"Dooly County, Georgia",14293,13,093
"Dougherty County, Georgia",93310,13,095
"Douglas County, Georgia",136520,13,097
"Early County, Georgia",10579,13,099
"Echols County, Georgia",4048,13,101
"Effingham County, Georgia",54630,13,103
"Elbert County, Georgia",19537,13,105
"Emanuel County, Georgia",22731,13,107
"Evans County, Georgia",10814,13,109
"Fannin County, Georgia",23742,13,111
"Fayette County, Georgia",108655,13,113
"Floyd County, Georgia",96169,13,115
"Forsyth County, Georgia",196236,13,117
"Franklin County, Georgia",22110,13,119
"Fulton County, Georgia",983903,13,121
"Gilmer County, Georgia",28673,13,123
"Glascock County, Georgia",3087,13,125
"Glynn County, Georgia",81743,13,127
"Gordon County, Georgia",55889,13,129
"Grady County, Georgia",25243,13,131
"Greene County, Georgia",16331,13,133
"Gwinnett County, Georgia",859234,13,135
"Habersham County, Georgia",43527,13,137
"Hall County, Georgia",187916,13,139
"Hancock County, Georgia",8881,13,141
"Haralson County, Georgia",28565,13,143
"Harris County, Georgia",32776,13,145
"Hart County, Georgia",25498,13,147
"Heard County, Georgia",11617,13,149
"Henry County, Georgia",211512,13,151
"Houston County, Georgia",147570,13,153
"Irwin County, Georgia",9408,13,155
"Jackson County, Georgia",61420,13,157
"Jasper County, Georgia",13593,13,159
"Jeff Davis County, Georgia",14990,13,161
"Jefferson County, Georgia",16374,13,163
"Jenkins County, Georgia",8922,13,165
"Johnson County, Georgia",9794,13,167
"Jones County, Georgia",28738,13,169
"Lamar County, Georgia",18114,13,171
"Lanier County, Georgia",10403,13,173
"Laurens County, Georgia",47886,13,175
"Lee County, Georgia",28946,13,177
"Liberty County, Georgia",64427,13,179
"Lincoln County, Georgia",7720,13,181
"Long County, Georgia",16588,13,183
"Lowndes County, Georgia",113203,13,185
"Lumpkin County, Georgia",30921,13,187
"McDuffie County, Georgia",21582,13,189
"McIntosh County, Georgia",14007,13,191
"Macon County, Georgia",14045,13,193
"Madison County, Georgia",28232,13,195
"Marion County, Georgia",8739,13,197
"Meriwether County, Georgia",21297,13,199
"Miller County, Georgia",5936,13,201
"Mitchell County, Georgia",22982,13,205
"Monroe County, Georgia",26915,13,207
"Montgomery County, Georgia",8968,13,209
"Morgan County, Georgia",17900,13,211
"Murray County, Georgia",39401,13,213
"Muscogee County, Georgia",200285,13,215
"Newton County, Georgia",102645,13,217
"Oconee County, Georgia",34400,13,219
"Oglethorpe County, Georgia",14688,13,221
"Paulding County, Georgia",147400,13,223
"Peach County, Georgia",27086,13,225
"Pickens County, Georgia",29740,13,227
"Pierce County, Georgia",18934,13,229
"Pike County, Georgia",17812,13,231
"Polk County, Georgia",41215,13,233
"Pulaski County, Georgia",11590,13,235
"Putnam County, Georgia",21247,13,237
"Quitman County, Georgia",2326,13,239
"Rabun County, Georgia",16266,13,241
"Randolph County, Georgia",7315,13,243
"Richmond County, Georgia",201291,13,245
"Rockdale County, Georgia",86901,13,247
"Schley County, Georgia",5074,13,249
"Screven County, Georgia",14206,13,251
"Seminole County, Georgia",8769,13,253
"Spalding County, Georgia",63873,13,255
"Stephens County, Georgia",25620,13,257
"Stewart County, Georgia",5868,13,259
"Sumter County, Georgia",31429,13,261
"Talbot County, Georgia",6490,13,263
"Taliaferro County, Georgia",1721,13,265
"Tattnall County, Georgia",25302,13,267
"Taylor County, Georgia",8401,13,269
"Telfair County, Georgia",16416,13,271
"Terrell County, Georgia",9213,13,273
"Thomas County, Georgia",44824,13,275
"Tift County, Georgia",40787,13,277
"Toombs County, Georgia",27210,13,279
"Towns County, Georgia",10800,13,281
"Treutlen County, Georgia",6762,13,283
"Troup County, Georgia",68867,13,285
"Turner County, Georgia",8338,13,287
"Twiggs County, Georgia",8509,13,289
"Union County, Georgia",21725,13,291
"Upson County, Georgia",26528,13,293
"Walker County, Georgia",68285,13,295
"Walton County, Georgia",86201,13,297
"Ware County, Georgia",35723,13,299
"Warren County, Georgia",5561,13,301
"Washington County, Georgia",20785,13,303
"Wayne County, Georgia",30046,13,305
"Webster County, Georgia",2720,13,307
"Wheeler County, Georgia",7956,13,309
"White County, Georgia",27791,13,311
"Whitfield County, Georgia",103456,13,313
"Wilcox County, Georgia",8972,13,315
"Wilkes County, Georgia",9991,13,317
"Wilkinson County, Georgia",9386,13,319
"Worth County, Georgia",21156,13,321
"Hawaii County, Hawaii",191482,15,001
"Honolulu County, Hawaii",984178,15,003
"Kalawao County, Hawaii",85,15,005
"Kauai County, Hawaii",69691,15,007
"Maui County, Hawaii",160863,15,009
"Ada County, Idaho",417501,16,001
"Adams County, Idaho",3880,16,003
"Bannock County, Idaho",83604,16,005
"Bear Lake County, Idaho",5939,16,007
"Benewah County, Idaho",9088,16,009
"Bingham County, Idaho",45407,16,011
"Blaine County, Idaho",21309,16,013
"Boise County, Idaho",6885,16,015
"Bonner County, Idaho",41066,16,017
"Bonneville County, Idaho",107788,16,019
"Boundary County, Idaho",10961,16,021
"Butte County, Idaho",2653,16,023
"Camas County, Idaho",1052,16,025
"Canyon County, Idaho",198921,16,027
"Caribou County, Idaho",6808,16,029
"Cassia County, Idaho",23369,16,031
"Clark County, Idaho",901,16,033
"Clearwater County, Idaho",8560,16,035
"Custer County, Idaho",4234,16,037
"Elmore County, Idaho",26175,16,039
"Franklin County, Idaho",12914,16,041
"Fremont County, Idaho",12945,16,043
"Gem County, Idaho",16731,16,045
"Gooding County, Idaho",15233,16,047
"Idaho County, Idaho",16312,16,049
"Jefferson County, Idaho",26792,16,051
"Jerome County, Idaho",22653,16,053
"Kootenai County, Idaho",145046,16,055
"Latah County, Idaho",38339,16,057
"Lemhi County, Idaho",7790,16,059
"Lewis County, Idaho",3812,16,061
"Lincoln County, Idaho",5260,16,063
"Madison County, Idaho",37916,16,065
"Minidoka County, Idaho",20279,16,067
"Nez Perce County, Idaho",39779,16,069
"Oneida County, Idaho",4245,16,071
"Owyhee County, Idaho",11364,16,073
"Payette County, Idaho",22700,16,075
"Power County, Idaho",7731,16,077
"Shoshone County, Idaho",12571,16,079
"Teton County, Idaho",10285,16,081
"Twin Falls County, Idaho",80004,16,083
"Valley County, Idaho",9720,16,085
"Washington County, Idaho",10025,16,087
"Adams County, Illinois",67081,17,001
"Alexander County, Illinois",7364,17,003
"Bond County, Illinois",17313,17,005
"Boone County, Illinois",53851,17,007
"Brown County, Illinois",6859,17,009
"Bureau County, Illinois",34115,17,011
"Calhoun County, Illinois",4999,17,013
"Carroll County, Illinois",14926,17,015
"Cass County, Illinois",13254,17,017
"Champaign County, Illinois",205766,17,019
"Christian County, Illinois",34200,17,021
"Clark County, Illinois",16159,17,023
"Clay County, Illinois",13582,17,025
"Clinton County, Illinois",37929,17,027
"Coles County, Illinois",53037,17,029
"Cook County, Illinois",5236393,17,031
"Crawford County, Illinois",19541,17,033
"Cumberland County, Illinois",10943,17,035
"DeKalb County, Illinois",104345,17,037
"De Witt County, Illinois",16388,17,039
"Douglas County, Illinois",19826,17,041
"DuPage County, Illinois",930412,17,043
"Edgar County, Illinois",17992,17,045
"Edwards County, Illinois",6649,17,047
"Effingham County, Illinois",34332,17,049
"Fayette County, Illinois",22136,17,051
"Ford County, Illinois",13835,17,053
"Franklin County, Illinois",39694,17,055
"Fulton County, Illinois",36323,17,057
"Logan County, Kansas",2793,20,109
"Lyon County, Kansas",33462,20,111
"McPherson County, Kansas",29252,20,113
"Marion County, Kansas",12290,20,115
"Marshall County, Kansas",10005,20,117
"Meade County, Kansas",4383,20,119
"Miami County, Kansas",32688,20,121
