,NAME,GEO_ID,2000,2010,2015
243,"Clear Lake city, Minnesota",1600000US2711764,545,447,581
244,"Kimball city, Minnesota",1600000US2733164,762,627,884
245,"Bricelyn city, Minnesota",1600000US2707678,365,330,315
246,"Corcoran city, Minnesota",1600000US2713168,5379,5380,5521
247,"Courtland city, Minnesota",1600000US2713582,611,586,714
248,"St. James city, Minnesota",1600000US2757040,4605,4567,4508
249,"Comfrey city, Minnesota",1600000US2712772,382,457,359
250,"Henning city, Minnesota",1600000US2728520,802,1087,857
251,"Norcross city, Minnesota",1600000US2746492,70,42,46
252,"Kasson city, Minnesota",1600000US2732498,5931,5703,6049
253,"Alexandria city, Minnesota",1600000US2700928,11070,11094,11614
254,"Revere city, Minnesota",1600000US2753908,95,55,100
255,"Dakota city, Minnesota",1600000US2714518,323,502,336
256,"Woodbury city, Minnesota",1600000US2771428,61961,59447,65667
257,"Lucan city, Minnesota",1600000US2738420,191,185,175
258,"Stewart city, Minnesota",1600000US2762788,571,629,518
259,"Alberta city, Minnesota",1600000US2700676,103,110,122
260,"Ortonville city, Minnesota",1600000US2748706,1916,1876,2020
261,"Lismore city, Minnesota",1600000US2737412,227,224,250
262,"Taconite city, Minnesota",1600000US2764048,360,316,634
263,"Nicollet city, Minnesota",1600000US2746150,1093,1066,1136
264,"Arden Hills city, Minnesota",1600000US2702026,9552,9498,9797
265,"Nassau city, Minnesota",1600000US2745016,72,103,49
266,"Randall city, Minnesota",1600000US2753080,650,584,662
267,"Hanover city, Minnesota",1600000US2726990,2938,2753,3006
268,"Le Roy city, Minnesota",1600000US2736620,929,833,819
269,"Riverton city, Minnesota",1600000US2754736,117,111,116
270,"Roseville city, Minnesota",1600000US2755852,33660,33261,34948
271,"Rockville city, Minnesota",1600000US2755078,2448,2161,2481
272,"Newport city, Minnesota",1600000US2745790,3435,3501,3470
273,"Minneiska city, Minnesota",1600000US2743036,111,159,98
274,"St. Vincent city, Minnesota",1600000US2758144,64,103,35
275,"Rushmore city, Minnesota",1600000US2756338,342,273,288
276,"Hollandale city, Minnesota",1600000US2729636,303,227,297
277,"Pine Island city, Minnesota",1600000US2751136,3263,3249,3375
278,"Lake Elmo city, Minnesota",1600000US2734244,8069,7878,8199
279,"Warroad city, Minnesota",1600000US2768224,1781,1506,1862
280,"Wanda city, Minnesota",1600000US2768008,84,90,59
281,"Afton city, Minnesota",1600000US2700316,2886,2891,2932
282,"Rush City city, Minnesota",1600000US2756266,3079,3038,3068
283,"Glenwood city, Minnesota",1600000US2724074,2564,2581,2536
284,"Pease city, Minnesota",1600000US2750056,242,141,276
285,"Falcon Heights city, Minnesota",1600000US2720420,5321,5276,5484
286,"Richmond city, Minnesota",1600000US2754268,1422,1320,1498
